산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0000000E3900,전국,환경 정화 및 복원업,184,1724,1449,275,35,81,116,1044,33,599,0,0,130,643,44,711,10,370,106,220,34,216,16,195,20,543,7,447,1,X,0,0,0,0,0,0,35,0,1465,187,37,144,1569,40,155,0,0,2,X,19,76,32,222,77,880,54,540
0000000E39001,전국,토양 및 지하수 정화업,59,687,588,99,8,9,51,678,0,0,0,0,34,246,16,81,9,360,27,48,14,85,8,98,6,157,3,196,1,X,0,0,0,0,0,0,8,0,594,77,8,51,665,8,22,0,0,0,0,4,18,11,150,24,248,20,271
0000000E39009,전국,기타 환경 정화 및 복원업,125,1037,861,176,27,72,65,366,33,599,0,0,96,397,28,630,1,X,79,172,20,131,8,97,14,386,4,251,0,0,0,0,0,0,0,0,27,0,871,110,29,93,904,32,133,0,0,2,X,15,58,21,72,53,632,34,269
0000000F,전국,건설업(41~42),497848,1923114,1607067,316047,384309,523927,113118,1392846,388,6142,33,199,487341,1527101,5344,107588,5163,288425,427588,571118,40274,258025,17754,233559,8577,249944,2091,141320,1173,187135,211,78857,119,81731,61,121425,387316,11493,843784,648782,31739,391436,1581241,106412,341873,98,665,13248,26312,44681,115714,136472,404832,196065,805210,107284,570381
0000000F41,전국,종합 건설업,47930,457842,385214,72628,17593,32797,30180,421273,154,3767,3,5,44886,320420,1497,42601,1547,94821,29317,50490,9117,59877,5248,70084,3038,89211,755,51126,348,54742,56,20851,29,21430,22,40031,17929,913,264583,171288,3129,36528,390007,11402,67835,15,33,905,3712,3272,21792,11439,83866,20072,205481,12227,142958
0000000F411,전국,건물 건설업,23188,230283,193574,36709,8564,15215,14545,214253,78,812,1,X,21751,158623,669,20703,768,50957,14268,23077,4194,27631,2521,33707,1554,45902,404,27411,190,29814,32,11482,12,8535,13,22724,8756,451,133278,86407,1391,18595,204743,4593,25540,6,18,407,1746,1573,11214,5499,45579,9900,106324,5803,65402
0000000F4111,전국,주거용 건물 건설업,14828,135813,113816,21997,6223,10828,8535,124218,69,764,1,X,14009,86227,401,14138,418,35448,10133,16223,2386,15615,1257,16642,703,20851,198,13436,108,17360,22,7989,9,6494,12,21203,6359,327,78475,49865,787,11884,121468,2944,14345,4,14,237,902,1011,6223,3507,26076,6255,64441,3814,38157
0000000F41111,전국,단독 주택 건설업,9253,49294,41218,8076,4676,8322,4551,40874,25,95,1,X,8971,45113,112,1301,170,2880,6774,10907,1385,9004,651,8617,338,10107,72,4861,30,4292,2,X,1,X,0,0,4779,289,23876,20045,305,7364,41011,1889,8283,2,X,160,474,638,3032,2241,13397,3982,21379,2230,11001
0000000F41112,전국,아파트 건설업,2775,66146,55958,10188,751,1162,1987,64336,37,648,0,0,2387,22964,223,11702,165,31480,1626,2494,447,2938,298,4037,215,6472,88,6013,63,10725,18,6504,8,5760,12,21203,758,13,43723,21272,380,2329,63264,446,2882,2,X,35,166,149,1748,542,7465,1167,34993,880,21771
0000000F41119,전국,기타 공동 주택 건설업,2800,20373,16640,3733,796,1344,1997,19008,7,21,0,0,2651,18150,66,1135,83,1088,1733,2822,554,3673,308,3988,150,4272,38,2562,15,2343,2,X,0,0,0,0,822,25,10876,8548,102,2191,17193,609,3180,0,0,42,262,224,1443,724,5214,1106,8069,704,5385
