산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0,전국,전체산업,6246489,25445897,14389133,11056764,4895583,8889801,968247,11233622,267353,4440070,115306,882404,5895038,17754736,263850,4424032,87601,3267129,5395505,7704182,485839,3082523,200594,2643438,110170,3286521,33944,2326741,15817,2493591,2288,863205,1438,992679,894,2053017,4977653,371971,16443483,2751195,901595,3927285,19213243,2319204,6232654,5336,8052,254711,458001,880742,2037832,1631203,5188344,1968989,10831659,1505508,6922009
0000000A,전국,"농업, 임업 및 어업(01~03)",12630,65192,47208,17984,0,0,7808,35769,4639,28847,183,576,11293,46441,912,12814,425,5937,9051,16371,2122,13761,891,11620,466,13886,77,5194,21,3069,1,X,1,X,0,0,0,0,50627,12351,2214,10176,55285,2454,9907,3,3,267,877,1187,4827,2697,12129,4516,26853,3960,20503
0000000A01,전국,농업,10256,47391,32794,14597,0,0,6181,24092,3943,22919,132,380,9099,31603,822,11468,335,4320,7857,13969,1338,8412,629,8219,373,11027,43,2775,15,2039,0,0,1,X,0,0,0,0,38385,7101,1905,8442,41108,1814,6283,3,3,209,618,949,3424,2168,8722,3681,20933,3246,13691
0000000A011,전국,작물 재배업,7092,24329,15074,9255,0,0,4435,14423,2597,9708,60,198,6738,21421,180,1614,174,1294,5801,9942,816,5092,318,4049,141,3869,11,697,5,680,0,0,0,0,0,0,0,0,17580,5220,1529,5688,20007,1404,4322,2,X,157,454,640,2012,1530,5588,2440,9089,2323,7184
0000000A0111,전국,곡물 및 기타 식량작물 재배업,2466,6585,4525,2060,0,0,1292,3182,1158,3325,16,78,2394,6076,29,238,43,271,2128,3286,252,1562,63,773,19,547,2,X,2,X,0,0,0,0,0,0,0,0,4403,1421,761,2067,5639,399,946,2,X,50,114,227,532,495,1476,751,2168,941,2293
0000000A01110,전국,곡물 및 기타 식량작물 재배업,2466,6585,4525,2060,0,0,1292,3182,1158,3325,16,78,2394,6076,29,238,43,271,2128,3286,252,1562,63,773,19,547,2,X,2,X,0,0,0,0,0,0,0,0,4403,1421,761,2067,5639,399,946,2,X,50,114,227,532,495,1476,751,2168,941,2293
0000000A0112,전국,"채소, 화훼작물 및 종묘 재배업",1992,7515,4481,3034,0,0,1328,4558,644,2916,20,41,1876,6569,65,569,51,377,1581,2775,240,1495,115,1495,51,1372,4,253,1,X,0,0,0,0,0,0,0,0,5091,2076,348,1554,6239,438,1276,0,0,38,121,163,457,443,1758,741,3154,607,2025
0000000A01121,전국,채소작물 재배업,1089,3340,2023,1317,0,0,717,2138,359,1177,13,25,1037,2994,24,205,28,141,911,1525,118,732,40,508,20,575,0,0,0,0,0,0,0,0,0,0,0,0,2063,1055,222,861,2684,228,656,0,0,24,78,93,269,246,773,390,1295,336,925
0000000A01122,전국,화훼작물 재배업,272,791,493,298,0,0,193,488,78,301,1,X,264,759,4,23,4,9,228,421,27,156,16,194,1,X,0,0,0,0,0,0,0,0,0,0,0,0,553,197,41,190,617,82,174,0,0,8,28,26,52,62,192,88,266,88,253
0000000A01123,전국,종자 및 묘목 생산업,631,3384,1965,1419,0,0,418,1932,207,1438,6,14,575,2816,37,341,19,227,442,829,95,607,59,793,30,777,4,253,1,X,0,0,0,0,0,0,0,0,2475,824,85,503,2938,128,446,0,0,6,15,44,136,135,793,263,1593,183,847
0000000A0113,전국,"과실, 음료용 및 향신용 작물 재배업",573,1415,855,560,0,0,390,900,173,487,10,28,548,1320,12,52,13,43,511,885,44,279,16,192,2,X,0,0,0,0,0,0,0,0,0,0,0,0,962,354,99,442,1064,131,351,0,0,16,37,55,131,127,293,188,470,187,484
0000000A01131,전국,과실작물 재배업,535,1286,777,509,0,0,366,851,159,407,10,28,511,1192,11,51,13,43,480,827,39,247,15,182,1,X,0,0,0,0,0,0,0,0,0,0,0,0,878,319,89,415,964,120,322,0,0,12,25,51,121,123,285,176,441,173,414
0000000A01132,전국,음료용 및 향신용 작물 재배업,38,129,78,51,0,0,24,49,14,80,0,0,37,128,1,X,0,0,31,58,5,32,1,X,1,X,0,0,0,0,0,0,0,0,0,0,0,0,84,35,10,27,100,11,29,0,0,4,12,4,10,4,8,12,29,14,70
0000000A0114,전국,기타 작물 재배업,443,1142,780,362,0,0,279,652,161,485,3,5,424,1038,8,41,11,63,386,661,41,232,12,149,4,100,0,0,0,0,0,0,0,0,0,0,0,0,844,206,92,353,934,90,208,0,0,6,10,36,90,81,211,158,424,162,407
0000000A01140,전국,기타 작물 재배업,443,1142,780,362,0,0,279,652,161,485,3,5,424,1038,8,41,11,63,386,661,41,232,12,149,4,100,0,0,0,0,0,0,0,0,0,0,0,0,844,206,92,353,934,90,208,0,0,6,10,36,90,81,211,158,424,162,407
0000000A0115,전국,시설작물 재배업,1618,7672,4433,3239,0,0,1146,5131,461,2495,11,46,1496,6418,66,714,56,540,1195,2335,239,1524,112,1440,65,1791,5,325,2,X,0,0,0,0,0,0,0,0,6280,1163,229,1272,6131,346,1541,0,0,47,172,159,802,384,1850,602,2873,426,1975
0000000A01151,전국,콩나물 재배업,123,997,644,353,0,0,88,701,35,296,0,0,99,754,13,130,11,113,61,134,31,213,19,238,10,276,2,X,0,0,0,0,0,0,0,0,0,0,915,73,9,95,757,28,240,0,0,3,28,6,28,24,187,49,486,41,268
0000000A01152,전국,"채소, 화훼 및 과실작물 시설 재배업",786,3322,1955,1367,0,0,517,2060,260,1228,9,34,734,2785,29,277,23,260,594,1147,110,702,59,743,21,531,1,X,1,X,0,0,0,0,0,0,0,0,2518,662,142,618,2692,168,630,0,0,21,62,86,363,192,681,270,1183,217,1033
0000000A01159,전국,기타 시설작물 재배업,709,3353,1834,1519,0,0,541,2370,166,971,2,X,663,2879,24,307,22,167,540,1054,98,609,34,459,34,984,2,X,1,X,0,0,0,0,0,0,0,0,2847,428,78,559,2682,150,671,0,0,23,82,67,411,168,982,283,1204,168,674
0000000A012,전국,축산업,1936,12116,9807,2309,0,0,1288,8049,646,4059,2,X,1477,7441,312,2802,147,1873,1220,2552,329,2111,252,3399,131,3742,4,312,0,0,0,0,0,0,0,0,0,0,11258,728,130,1626,10677,310,1439,1,X,26,86,177,835,408,2454,719,4614,605,4126
0000000A0121,전국,소 사육업,353,1232,977,255,0,0,157,517,195,712,1,X,283,852,46,240,24,140,289,551,39,244,17,220,8,217,0,0,0,0,0,0,0,0,0,0,0,0,1100,80,52,312,1132,41,100,0,0,2,X,36,76,66,208,119,388,130,558
0000000A01211,전국,젖소 사육업,53,253,203,50,0,0,24,140,28,110,1,X,40,185,8,34,5,34,42,95,7,46,1,X,3,96,0,0,0,0,0,0,0,0,0,0,0,0,230,19,4,50,245,3,8,0,0,0,0,7,18,12,69,14,87,20,79
0000000A01212,전국,육우 사육업,300,979,774,205,0,0,133,377,167,602,0,0,243,667,38,206,19,106,247,456,32,198,16,204,5,121,0,0,0,0,0,0,0,0,0,0,0,0,870,61,48,262,887,38,92,0,0,2,X,29,58,54,139,105,301,110,479
0000000A0122,전국,양돈업,625,5700,5079,621,0,0,412,3438,213,2262,0,0,464,3728,108,1100,53,872,278,707,136,879,129,1773,81,2266,1,X,0,0,0,0,0,0,0,0,0,0,5407,279,14,547,5097,78,603,0,0,4,20,63,409,138,1094,258,2430,162,1747
0000000A01220,전국,양돈업,625,5700,5079,621,0,0,412,3438,213,2262,0,0,464,3728,108,1100,53,872,278,707,136,879,129,1773,81,2266,1,X,0,0,0,0,0,0,0,0,0,0,5407,279,14,547,5097,78,603,0,0,4,20,63,409,138,1094,258,2430,162,1747
0000000A0123,전국,가금류 및 조류 사육업,493,3793,2812,981,0,0,392,3056,101,737,0,0,299,1804,139,1259,55,730,246,574,116,764,94,1258,35,1028,2,X,0,0,0,0,0,0,0,0,0,0,3538,226,29,418,3380,75,413,0,0,12,52,37,264,108,896,196,1344,140,1237
0000000A01231,전국,양계업,441,3518,2612,906,0,0,359,2851,82,667,0,0,263,1671,127,1134,51,713,212,501,108,709,85,1138,34,1001,2,X,0,0,0,0,0,0,0,0,0,0,3281,210,27,379,3160,62,358,0,0,12,52,28,201,99,829,177,1270,125,1166
0000000A01239,전국,기타 가금류 및 조류 사육업,52,275,200,75,0,0,33,205,19,70,0,0,36,133,12,125,4,17,34,73,8,55,9,120,1,X,0,0,0,0,0,0,0,0,0,0,0,0,257,16,2,39,220,13,55,0,0,0,0,9,63,9,67,19,74,15,71
0000000A0129,전국,기타 축산업,465,1391,939,452,0,0,327,1038,137,348,1,X,431,1057,19,203,15,131,407,720,38,224,12,148,7,231,1,X,0,0,0,0,0,0,0,0,0,0,1213,143,35,349,1068,116,323,1,X,8,12,41,86,96,256,146,452,173,584
0000000A01291,전국,말 및 양 사육업,79,211,169,42,0,0,61,167,18,44,0,0,74,195,3,11,2,X,71,146,5,34,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,20,5,64,167,15,44,0,0,2,X,9,23,15,44,22,65,31,77
0000000A01299,전국,그 외 기타 축산업,386,1180,770,410,0,0,266,871,119,304,1,X,357,862,16,192,13,126,336,574,33,190,9,117,7,231,1,X,0,0,0,0,0,0,0,0,0,0,1027,123,30,285,901,101,279,1,X,6,10,32,63,81,212,124,387,142,507
0000000A013,전국,작물재배 및 축산 복합농업,25,49,38,11,0,0,19,35,6,14,0,0,25,49,0,0,0,0,22,31,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,1,23,46,2,X,0,0,2,X,3,4,9,18,5,12,6,13
0000000A0130,전국,작물재배 및 축산 복합농업,25,49,38,11,0,0,19,35,6,14,0,0,25,49,0,0,0,0,22,31,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,1,23,46,2,X,0,0,2,X,3,4,9,18,5,12,6,13
0000000A01300,전국,작물재배 및 축산 복합농업,25,49,38,11,0,0,19,35,6,14,0,0,25,49,0,0,0,0,22,31,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,1,23,46,2,X,0,0,2,X,3,4,9,18,5,12,6,13
0000000A014,전국,작물재배 및 축산 관련 서비스업,1199,10890,7870,3020,0,0,437,1580,692,9136,70,174,856,2686,329,7051,14,1153,810,1437,190,1191,59,771,101,3416,28,1766,10,1359,0,0,1,X,0,0,0,0,9502,1144,244,1102,10372,97,518,0,0,24,76,129,573,221,662,514,7212,311,2367
0000000A0141,전국,작물재배 관련 서비스업,1101,10103,7245,2858,0,0,380,1030,655,8903,66,170,787,2327,304,6718,10,1058,745,1316,174,1086,52,679,94,3190,26,1637,9,1245,0,0,1,X,0,0,0,0,8746,1121,236,1013,9625,88,478,0,0,22,68,119,422,196,597,489,6903,275,2113
0000000A01411,전국,작물재배 지원 서비스업,820,8235,6319,1916,0,0,280,585,492,7596,48,54,563,1230,253,6045,4,960,573,975,112,680,24,305,79,2743,23,1443,8,1139,0,0,1,X,0,0,0,0,7727,302,206,757,7885,63,350,0,0,21,65,98,207,150,373,380,6181,171,1409
0000000A01412,전국,"농산물 건조, 선별 및 기타 수확 후 서비스업",281,1868,926,942,0,0,100,445,163,1307,18,116,224,1097,51,673,6,98,172,341,62,406,28,374,15,447,3,194,1,X,0,0,0,0,0,0,0,0,1019,819,30,256,1740,25,128,0,0,1,X,21,215,46,224,109,722,104,704
0000000A0142,전국,축산 관련 서비스업,98,787,625,162,0,0,57,550,37,233,4,4,69,359,25,333,4,95,65,121,16,105,7,92,7,226,2,X,1,X,0,0,0,0,0,0,0,0,756,23,8,89,747,9,40,0,0,2,X,10,151,25,65,25,309,36,254
0000000A01420,전국,축산 관련 서비스업,98,787,625,162,0,0,57,550,37,233,4,4,69,359,25,333,4,95,65,121,16,105,7,92,7,226,2,X,1,X,0,0,0,0,0,0,0,0,756,23,8,89,747,9,40,0,0,2,X,10,151,25,65,25,309,36,254
0000000A015,전국,수렵 및 관련 서비스업,4,7,5,2,0,0,2,X,2,X,0,0,3,6,1,X,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,6,1,X,0,0,0,0,0,0,0,0,3,6,1,X
0000000A0150,전국,수렵 및 관련 서비스업,4,7,5,2,0,0,2,X,2,X,0,0,3,6,1,X,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,6,1,X,0,0,0,0,0,0,0,0,3,6,1,X
0000000A01500,전국,수렵 및 관련 서비스업,4,7,5,2,0,0,2,X,2,X,0,0,3,6,1,X,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,6,1,X,0,0,0,0,0,0,0,0,3,6,1,X
0000000A02,전국,임업,1528,11764,9305,2459,0,0,1309,7899,219,3865,0,0,1439,10234,48,614,41,916,651,1313,572,4008,215,2827,72,2228,15,1029,3,359,0,0,0,0,0,0,0,0,7631,4022,111,1025,8751,503,3013,0,0,49,221,177,1007,359,2361,553,4396,390,3779
0000000A020,전국,임업,1528,11764,9305,2459,0,0,1309,7899,219,3865,0,0,1439,10234,48,614,41,916,651,1313,572,4008,215,2827,72,2228,15,1029,3,359,0,0,0,0,0,0,0,0,7631,4022,111,1025,8751,503,3013,0,0,49,221,177,1007,359,2361,553,4396,390,3779
0000000A0201,전국,영림업,318,2047,1527,520,0,0,271,1459,47,588,0,0,304,1822,8,95,6,130,166,280,103,709,33,447,13,402,3,209,0,0,0,0,0,0,0,0,0,0,1301,707,39,214,1564,104,483,0,0,8,29,37,179,70,512,120,776,83,551
0000000A02011,전국,임업용 종묘 생산업,153,906,633,273,0,0,120,455,33,451,0,0,147,765,1,X,5,112,97,146,39,259,7,86,8,263,2,X,0,0,0,0,0,0,0,0,0,0,501,371,34,105,720,48,186,0,0,3,4,12,71,30,192,62,338,46,301
0000000A02012,전국,육림업,165,1141,894,247,0,0,151,1004,14,137,0,0,157,1057,7,66,1,X,69,134,64,450,26,361,5,139,1,X,0,0,0,0,0,0,0,0,0,0,800,336,5,109,844,56,297,0,0,5,25,25,108,40,320,58,438,37,250
0000000A0202,전국,벌목업,51,240,190,50,0,0,46,223,5,17,0,0,50,238,0,0,1,X,32,62,13,86,6,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,82,4,34,155,17,85,0,0,2,X,4,20,11,55,15,69,19,83
0000000A02020,전국,벌목업,51,240,190,50,0,0,46,223,5,17,0,0,50,238,0,0,1,X,32,62,13,86,6,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,82,4,34,155,17,85,0,0,2,X,4,20,11,55,15,69,19,83
0000000A0203,전국,임산물 채취업,26,56,38,18,0,0,15,27,11,29,0,0,25,55,0,0,1,X,23,39,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,7,23,52,3,4,0,0,2,X,2,X,1,X,11,32,10,17
0000000A02030,전국,임산물 채취업,26,56,38,18,0,0,15,27,11,29,0,0,25,55,0,0,1,X,23,39,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,7,23,52,3,4,0,0,2,X,2,X,1,X,11,32,10,17
0000000A0204,전국,임업 관련 서비스업,1133,9421,7550,1871,0,0,977,6190,156,3231,0,0,1060,8119,40,519,33,783,430,932,453,3196,176,2288,59,1826,12,820,3,359,0,0,0,0,0,0,0,0,6136,3224,61,754,6980,379,2441,0,0,37,175,134,806,277,1793,407,3519,278,3128
0000000A02040,전국,임업 관련 서비스업,1133,9421,7550,1871,0,0,977,6190,156,3231,0,0,1060,8119,40,519,33,783,430,932,453,3196,176,2288,59,1826,12,820,3,359,0,0,0,0,0,0,0,0,6136,3224,61,754,6980,379,2441,0,0,37,175,134,806,277,1793,407,3519,278,3128
0000000A03,전국,어업,846,6037,5109,928,0,0,318,3778,477,2063,51,196,755,4604,42,732,49,701,543,1089,212,1341,47,574,21,631,19,1390,3,671,1,X,0,0,0,0,0,0,4611,1228,198,709,5426,137,611,0,0,9,38,61,396,170,1046,282,1524,324,3033
0000000A031,전국,어로 어업,124,2974,2792,182,0,0,67,2839,46,124,11,11,104,1898,7,562,13,514,74,116,6,40,11,147,12,371,17,1288,3,671,1,X,0,0,0,0,0,0,2332,628,14,107,2887,17,87,0,0,0,0,6,173,21,424,34,404,63,1973
0000000A0311,전국,해수면 어업,114,2954,2776,178,0,0,65,2832,38,111,11,11,94,1878,7,562,13,514,64,96,6,40,11,147,12,371,17,1288,3,671,1,X,0,0,0,0,0,0,2315,625,14,98,2871,16,83,0,0,0,0,5,172,18,417,31,395,60,1970
0000000A03111,전국,원양 어업,39,1622,1505,117,0,0,36,1614,3,8,0,0,28,833,7,562,4,227,12,18,2,X,7,88,9,271,6,395,2,X,1,X,0,0,0,0,0,0,1060,562,0,33,1587,6,35,0,0,0,0,0,0,5,169,10,261,24,1192
0000000A03112,전국,연근해 어업,75,1332,1271,61,0,0,29,1218,35,103,11,11,66,1045,0,0,9,287,52,78,4,30,4,59,3,100,11,893,1,X,0,0,0,0,0,0,0,0,1255,63,14,65,1284,10,48,0,0,0,0,5,172,13,248,21,134,36,778
0000000A0312,전국,내수면 어업,10,20,16,4,0,0,2,X,8,13,0,0,10,20,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,9,16,1,X,0,0,0,0,1,X,3,7,3,9,3,3
0000000A03120,전국,내수면 어업,10,20,16,4,0,0,2,X,8,13,0,0,10,20,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,9,16,1,X,0,0,0,0,1,X,3,7,3,9,3,3
0000000A032,전국,양식어업 및 어업관련 서비스업,722,3063,2317,746,0,0,251,939,431,1939,40,185,651,2706,35,170,36,187,469,973,206,1301,36,427,9,260,2,X,0,0,0,0,0,0,0,0,0,0,2279,600,184,602,2539,120,524,0,0,9,38,55,223,149,622,248,1120,261,1060
0000000A0321,전국,양식 어업,633,2755,2185,570,0,0,236,894,363,1690,34,171,586,2519,27,126,20,110,394,841,198,1250,32,379,7,183,2,X,0,0,0,0,0,0,0,0,0,0,2091,505,159,526,2259,107,496,0,0,9,38,55,223,134,579,222,1054,213,861
0000000A03211,전국,해수면 양식 어업,414,1920,1500,420,0,0,133,577,248,1174,33,169,386,1784,17,88,11,48,241,505,145,928,21,251,5,134,2,X,0,0,0,0,0,0,0,0,0,0,1385,401,134,345,1553,69,367,0,0,6,20,27,133,90,402,135,692,156,673
0000000A03212,전국,내수면 양식 어업,160,578,469,109,0,0,76,228,83,348,1,X,145,503,8,33,7,42,115,255,37,223,7,76,1,X,0,0,0,0,0,0,0,0,0,0,0,0,491,72,15,134,486,26,92,0,0,3,18,22,70,32,131,61,225,42,134
0000000A03213,전국,수산물 부화 및 수산 종자 생산업,59,257,216,41,0,0,27,89,32,168,0,0,55,232,2,X,2,X,38,81,16,99,4,52,1,X,0,0,0,0,0,0,0,0,0,0,0,0,215,32,10,47,220,12,37,0,0,0,0,6,20,12,46,26,137,15,54
0000000A0322,전국,어업 관련 서비스업,89,308,132,176,0,0,15,45,68,249,6,14,65,187,8,44,16,77,75,132,8,51,4,48,2,X,0,0,0,0,0,0,0,0,0,0,0,0,188,95,25,76,280,13,28,0,0,0,0,0,0,15,43,26,66,48,199
0000000A03220,전국,어업 관련 서비스업,89,308,132,176,0,0,15,45,68,249,6,14,65,187,8,44,16,77,75,132,8,51,4,48,2,X,0,0,0,0,0,0,0,0,0,0,0,0,188,95,25,76,280,13,28,0,0,0,0,0,0,15,43,26,66,48,199
0000000B,전국,광업(05~08),1873,13232,11414,1818,964,2191,898,10223,11,818,0,0,1656,8299,144,3040,73,1893,1330,2652,198,1306,184,2555,137,3959,20,1331,1,X,2,X,1,X,0,0,1040,490,10734,867,101,1572,11671,301,1561,0,0,13,60,82,477,243,1656,614,5678,921,5361
0000000B05,전국,"석탄, 원유 및 천연가스 광업",12,1560,1418,142,1,X,9,816,2,X,0,0,7,178,3,794,2,X,3,5,1,X,2,X,0,0,3,205,0,0,2,X,1,X,0,0,1,X,1505,54,0,11,1548,1,X,0,0,0,0,0,0,0,0,5,1388,7,172
0000000B051,전국,석탄 광업,11,1495,1373,122,1,X,8,751,2,X,0,0,6,113,3,794,2,X,3,5,1,X,2,X,0,0,2,X,0,0,2,X,1,X,0,0,1,X,1440,54,0,10,1483,1,X,0,0,0,0,0,0,0,0,4,1323,7,172
0000000B0510,전국,석탄 광업,11,1495,1373,122,1,X,8,751,2,X,0,0,6,113,3,794,2,X,3,5,1,X,2,X,0,0,2,X,0,0,2,X,1,X,0,0,1,X,1440,54,0,10,1483,1,X,0,0,0,0,0,0,0,0,4,1323,7,172
0000000B05100,전국,석탄 광업,11,1495,1373,122,1,X,8,751,2,X,0,0,6,113,3,794,2,X,3,5,1,X,2,X,0,0,2,X,0,0,2,X,1,X,0,0,1,X,1440,54,0,10,1483,1,X,0,0,0,0,0,0,0,0,4,1323,7,172
0000000B052,전국,원유 및 천연가스 채굴업,1,X,45,20,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,65,0,0,1,X,0,0,0,0,0,0,0,0,0,0,1,X,0,0
0000000B0520,전국,원유 및 천연가스 채굴업,1,X,45,20,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,65,0,0,1,X,0,0,0,0,0,0,0,0,0,0,1,X,0,0
0000000B05200,전국,원유 및 천연가스 채굴업,1,X,45,20,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,65,0,0,1,X,0,0,0,0,0,0,0,0,0,0,1,X,0,0
0000000B06,전국,금속 광업,42,400,375,25,8,10,34,390,0,0,0,0,35,199,6,107,1,X,29,49,3,19,4,51,5,187,1,X,0,0,0,0,0,0,0,0,8,0,388,4,0,39,395,3,5,0,0,1,X,1,X,8,124,12,160,20,98
0000000B061,전국,철 광업,6,160,155,5,0,0,6,160,0,0,0,0,4,62,1,X,1,X,3,9,0,0,1,X,1,X,1,X,0,0,0,0,0,0,0,0,0,0,160,0,0,6,160,0,0,0,0,1,X,0,0,1,X,1,X,3,9
0000000B0610,전국,철 광업,6,160,155,5,0,0,6,160,0,0,0,0,4,62,1,X,1,X,3,9,0,0,1,X,1,X,1,X,0,0,0,0,0,0,0,0,0,0,160,0,0,6,160,0,0,0,0,1,X,0,0,1,X,1,X,3,9
0000000B06100,전국,철 광업,6,160,155,5,0,0,6,160,0,0,0,0,4,62,1,X,1,X,3,9,0,0,1,X,1,X,1,X,0,0,0,0,0,0,0,0,0,0,160,0,0,6,160,0,0,0,0,1,X,0,0,1,X,1,X,3,9
0000000B062,전국,비철금속 광업,36,240,220,20,8,10,28,230,0,0,0,0,31,137,5,103,0,0,26,40,3,19,3,36,4,145,0,0,0,0,0,0,0,0,0,0,8,0,228,4,0,33,235,3,5,0,0,0,0,1,X,7,82,11,66,17,89
0000000B0620,전국,비철금속 광업,36,240,220,20,8,10,28,230,0,0,0,0,31,137,5,103,0,0,26,40,3,19,3,36,4,145,0,0,0,0,0,0,0,0,0,0,8,0,228,4,0,33,235,3,5,0,0,0,0,1,X,7,82,11,66,17,89
0000000B06200,전국,비철금속 광업,36,240,220,20,8,10,28,230,0,0,0,0,31,137,5,103,0,0,26,40,3,19,3,36,4,145,0,0,0,0,0,0,0,0,0,0,8,0,228,4,0,33,235,3,5,0,0,0,0,1,X,7,82,11,66,17,89
0000000B07,전국,비금속광물 광업; 연료용 제외,1805,11188,9557,1631,952,2177,846,8988,7,23,0,0,1603,7899,133,2111,69,1178,1289,2587,191,1259,177,2458,131,3739,16,1032,1,X,0,0,0,0,0,0,1028,490,8760,809,101,1510,9648,295,1540,0,0,12,45,81,474,233,1528,596,4129,883,5012
0000000B071,전국,토사석 광업,922,8952,7960,992,128,446,794,8506,0,0,0,0,730,5827,127,1991,65,1134,444,893,174,1158,164,2272,124,3534,15,982,1,X,0,0,0,0,0,0,133,8,8178,548,85,762,7759,160,1193,0,0,6,33,52,422,143,1260,346,3446,375,3791
0000000B0711,전국,석회석 및 점토 광업,158,1757,1616,141,42,221,116,1536,0,0,0,0,99,758,49,803,10,196,64,124,31,204,32,422,26,700,5,307,0,0,0,0,0,0,0,0,44,3,1661,42,7,142,1650,16,107,0,0,0,0,5,47,21,167,54,750,78,793
0000000B07110,전국,석회석 및 점토 광업,158,1757,1616,141,42,221,116,1536,0,0,0,0,99,758,49,803,10,196,64,124,31,204,32,422,26,700,5,307,0,0,0,0,0,0,0,0,44,3,1661,42,7,142,1650,16,107,0,0,0,0,5,47,21,167,54,750,78,793
0000000B0712,전국,"석재, 쇄석 및 모래, 자갈 채취업",764,7195,6344,851,86,225,678,6970,0,0,0,0,631,5069,78,1188,55,938,380,769,143,954,132,1850,98,2834,10,675,1,X,0,0,0,0,0,0,89,5,6517,506,78,620,6109,144,1086,0,0,6,33,47,375,122,1093,292,2696,297,2998
0000000B07121,전국,건설용 석재 채굴 및 쇄석 생산업,402,4896,4339,557,51,154,351,4742,0,0,0,0,321,3415,46,818,35,663,154,287,73,476,89,1258,76,2164,9,598,1,X,0,0,0,0,0,0,53,2,4478,297,66,328,4175,74,721,0,0,4,31,23,257,64,704,154,1803,157,2101
0000000B07122,전국,모래 및 자갈 채취업,362,2299,2005,294,35,71,327,2228,0,0,0,0,310,1654,32,370,20,275,226,482,70,478,43,592,22,670,1,X,0,0,0,0,0,0,0,0,36,3,2039,209,12,292,1934,70,365,0,0,2,X,24,118,58,389,138,893,140,897
0000000B072,전국,기타 비금속광물 광업,883,2236,1597,639,824,1731,52,482,7,23,0,0,873,2072,6,120,4,44,845,1694,17,101,13,186,7,205,1,X,0,0,0,0,0,0,0,0,895,482,582,261,16,748,1889,135,347,0,0,6,12,29,52,90,268,250,683,508,1221
0000000B0721,전국,화학용 및 비료 원료용 광물 광업,20,113,87,26,9,23,11,90,0,0,0,0,16,42,4,71,0,0,15,24,1,X,2,X,2,X,0,0,0,0,0,0,0,0,0,0,9,0,104,0,0,19,112,1,X,0,0,1,X,2,X,2,X,4,34,11,72
0000000B07210,전국,화학용 및 비료 원료용 광물 광업,20,113,87,26,9,23,11,90,0,0,0,0,16,42,4,71,0,0,15,24,1,X,2,X,2,X,0,0,0,0,0,0,0,0,0,0,9,0,104,0,0,19,112,1,X,0,0,1,X,2,X,2,X,4,34,11,72
0000000B0722,전국,천일염 생산 및 암염 채취업,821,1812,1232,580,803,1680,11,109,7,23,0,0,818,1778,0,0,3,34,800,1611,14,79,5,77,2,X,0,0,0,0,0,0,0,0,0,0,873,481,190,252,16,692,1529,129,283,0,0,5,11,24,46,82,167,232,523,478,1065
